Día;Mes;Horario;Hora;Edad;Sexo
Domingo;1;Tarde;14;26;Hombre
Domingo;1;Tarde;16;49;Hombre
Domingo;1;Tarde;18;23;Mujer
Domingo;1;Tarde;19;30;Hombre
Lunes;1;Noche;0;41;Hombre
Lunes;1;Mañana;9;32;Hombre
Lunes;1;Mañana;7;33;Mujer
Lunes;1;Mañana;8;45;Hombre
Lunes;1;Mañana;13;21;Hombre
Lunes;1;Mañana;13;36;Hombre
Lunes;1;Mañana;10;16;Hombre
Lunes;1;Mañana;10;87;Hombre
Lunes;1;Tarde;15;58;Hombre
Lunes;1;Tarde;14;17;Mujer
Lunes;1;Tarde;16;77;Mujer
Lunes;1;Tarde;14;51;Mujer
Lunes;1;Tarde;16;3;Hombre
Lunes;1;Tarde;18;36;Hombre
Lunes;1;Tarde;18;37;Hombre
Lunes;1;Tarde;17;38;Mujer
Lunes;1;Tarde;17;70;Mujer
Lunes;1;Tarde;19;48;Hombre
Lunes;1;Tarde;19;47;Hombre
Lunes;1;Tarde;19;13;Mujer
Lunes;1;Tarde;19;23;Mujer
Lunes;1;Tarde;19;25;Mujer
Lunes;1;Tarde;19;15;Hombre
Lunes;1;Tarde;19;27;Hombre
Martes;1;Mañana;8;31;Hombre
Martes;1;Noche;0;38;Hombre
Martes;1;Noche;0;60;Hombre
Martes;1;Mañana;10;36;Hombre
Martes;1;Mañana;10;61;Hombre
Martes;1;Mañana;11;47;Hombre
Martes;1;Mañana;8;40;Hombre
Martes;1;Mañana;12;42;Mujer
Martes;1;Mañana;13;35;Hombre
Martes;1;Tarde;14;43;Hombre
Martes;1;Tarde;15;37;Mujer
Martes;1;Tarde;16;27;Hombre
Martes;1;Tarde;15;45;Mujer
Martes;1;Tarde;15;47;Hombre
Martes;1;Tarde;15;48;Hombre
Martes;1;Tarde;16;27;Hombre
Martes;1;Tarde;16;12;Mujer
Martes;1;Tarde;16;42;Hombre
Martes;1;Tarde;18;53;Hombre
Martes;1;Tarde;17;61;Mujer
Martes;1;Tarde;21;50;Hombre
Martes;1;Tarde;17;48;Hombre
Martes;1;Tarde;21;23;Mujer
Miércoles;1;Noche;3;55;Hombre
Miércoles;1;Mañana;8;38;Hombre
Miércoles;1;Mañana;8;82;Mujer
Martes;1;Noche;22;32;Mujer
Miércoles;1;Mañana;12;47;Hombre
Miércoles;1;Tarde;14;43;Mujer
Miércoles;1;Tarde;14;39;Mujer
Miércoles;1;Mañana;13;29;Hombre
Miércoles;1;Tarde;18;41;Hombre
Miércoles;1;Tarde;18;44;Hombre
Miércoles;1;Tarde;18;88;Hombre
Miércoles;1;Tarde;20;21;Hombre
Miércoles;1;Tarde;20;42;Hombre
Miércoles;1;Tarde;21;56;Hombre
Miércoles;1;Noche;23;31;Hombre
Jueves;1;Mañana;6;29;Hombre
Jueves;1;Mañana;7;26;Hombre
Jueves;1;Mañana;9;26;Hombre
Jueves;1;Mañana;9;45;Hombre
Jueves;1;Mañana;9;22;Mujer
Jueves;1;Mañana;8;63;Mujer
Jueves;1;Mañana;9;42;Hombre
Jueves;1;Mañana;12;53;Hombre
Jueves;1;Mañana;12;32;Mujer
Jueves;1;Mañana;11;26;Hombre
Jueves;1;Mañana;13;88;Hombre
Jueves;1;Mañana;11;95;Mujer
Jueves;1;Mañana;12;25;Hombre
Jueves;1;Mañana;12;65;Hombre
Jueves;1;Tarde;14;19;Hombre
Jueves;1;Tarde;14;28;Mujer
Jueves;1;Tarde;14;43;Hombre
Jueves;1;Tarde;16;56;Mujer
Jueves;1;Tarde;14;33;Hombre
Jueves;1;Tarde;17;37;Mujer
Jueves;1;Tarde;16;55;Hombre
Jueves;1;Tarde;19;52;Mujer
Miércoles;1;Noche;5;38;Hombre
Jueves;1;Tarde;19;32;Hombre
Jueves;1;Tarde;19;27;Hombre
Jueves;1;Tarde;19;25;Mujer
Jueves;1;Tarde;19;26;Mujer
Jueves;1;Tarde;21;50;Hombre
Jueves;1;Tarde;20;26;Mujer
Jueves;1;Tarde;20;30;Hombre
Jueves;1;Tarde;16;37;Hombre
Jueves;1;Tarde;20;30;Mujer
Jueves;1;Tarde;21;27;Mujer
Jueves;1;Tarde;21;28;Hombre
Jueves;1;Noche;23;23;Hombre
Jueves;1;Noche;23;24;Hombre
Viernes;1;Mañana;7;57;Hombre
Viernes;1;Mañana;8;46;Mujer
Viernes;1;Mañana;7;37;Hombre
Viernes;1;Mañana;7;45;Hombre
Viernes;1;Mañana;11;33;Hombre
Viernes;1;Mañana;9;37;Mujer
Viernes;1;Mañana;12;27;Hombre
Viernes;1;Mañana;8;69;Mujer
Viernes;1;Mañana;12;25;Hombre
Viernes;1;Mañana;13;28;Mujer
Viernes;1;Mañana;13;60;Hombre
Viernes;1;Tarde;14;55;Mujer
Viernes;1;Tarde;14;48;Mujer
Viernes;1;Tarde;14;25;Hombre
Viernes;1;Mañana;13;23;Mujer
Viernes;1;Mañana;13;45;Hombre
Viernes;1;Tarde;14;14;Hombre
Viernes;1;Tarde;14;55;Hombre
Viernes;1;Tarde;14;88;Mujer
Viernes;1;Mañana;9;21;Hombre
Viernes;1;Tarde;16;47;Mujer
Viernes;1;Tarde;16;65;Hombre
Viernes;1;Tarde;16;38;Mujer
Viernes;1;Tarde;16;38;Hombre
Viernes;1;Tarde;17;24;Hombre
Viernes;1;Tarde;19;24;Hombre
Viernes;1;Tarde;20;24;Hombre
Viernes;1;Tarde;20;67;Hombre
Viernes;1;Noche;22;31;Hombre
Viernes;1;Tarde;20;50;Hombre
Viernes;1;Tarde;20;33;Hombre
Viernes;1;Tarde;20;35;Hombre
Viernes;1;Tarde;20;80;Mujer
Viernes;1;Tarde;20;16;Mujer
Sábado;1;Mañana;8;31;Hombre
Sábado;1;Mañana;12;37;Mujer
